quadrant,name,ring,isNew,Description,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Service Virtualization,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Test Automation,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,App Dynamics,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Appium,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Bamboo,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,CA DevTest,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Cucumber,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Dynatrace,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Eyeshare,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Ginger by Amdocs,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Hoverfly,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Helm,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,HP Diagnostic,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,IBM Greenhat,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Jenkins,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Jira,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Maven,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Nunit,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,PACT,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Perfecto,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Postman,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,QC,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,QTP,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Rally,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,RedHat,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Selenium,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Sikuli,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,SoapUI,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,SVN,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,TeamCity,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Test NG,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,TOSCA,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Web Reporting,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Web Services Rest,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,BEAT,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,Groovy,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,Java,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,JUnit,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,PL/SQL,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,Python,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,Ruby,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Prog. Language,VB,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
